Country,Crop,Year,Yield,Population,Yield_Growth_%
Brunei Darussalam,cassava,2013,3.0,406.2,
Brunei Darussalam,cassava,2014,3.0,411.9,0.0
Brunei Darussalam,cassava,2015,3.2,412.4,6.67
Brunei Darussalam,cassava,2016,3.2,417.3,0.0
Brunei Darussalam,cassava,2017,3.3,421.3,3.12
Brunei Darussalam,cassava,2018,3.3,442.4,0.0
Brunei Darussalam,cassava,2019,0.3,459.5,-90.91
Brunei Darussalam,cassava,2020,0.3,453.6,0.0
Brunei Darussalam,cassava,2021,0.3,430.0,0.0
Brunei Darussalam,cassava,2022,0.4,445.4,33.33
Brunei Darussalam,maize,2013,,406.2,
Brunei Darussalam,maize,2014,,411.9,
Brunei Darussalam,maize,2015,,412.4,
Brunei Darussalam,maize,2016,,417.3,
Brunei Darussalam,maize,2017,,421.3,
Brunei Darussalam,maize,2018,,442.4,
Brunei Darussalam,maize,2019,0.3,459.5,
Brunei Darussalam,maize,2020,0.5,453.6,66.67
Brunei Darussalam,maize,2021,0.5,430.0,0.0
Brunei Darussalam,maize,2022,,445.4,0.0
Brunei Darussalam,paddy,2013,1.9,406.2,
Brunei Darussalam,paddy,2014,2.1,411.9,10.53
Brunei Darussalam,paddy,2015,3.1,412.4,47.62
Brunei Darussalam,paddy,2016,3.2,417.3,3.23
Brunei Darussalam,paddy,2017,2.5,421.3,-21.88
Brunei Darussalam,paddy,2018,2.3,442.4,-8.0
Brunei Darussalam,paddy,2019,3.9,459.5,69.57
Brunei Darussalam,paddy,2020,4.1,453.6,5.13
Brunei Darussalam,paddy,2021,4.2,430.0,2.44
Brunei Darussalam,paddy,2022,3.6,445.4,-14.29
Brunei Darussalam,soybean,2013,,406.2,
Brunei Darussalam,soybean,2014,,411.9,
Brunei Darussalam,soybean,2015,,412.4,
Brunei Darussalam,soybean,2016,,417.3,
Brunei Darussalam,soybean,2017,,421.3,
Brunei Darussalam,soybean,2018,,442.4,
Brunei Darussalam,soybean,2019,,459.5,
Brunei Darussalam,soybean,2020,,453.6,
Brunei Darussalam,soybean,2021,,430.0,
Brunei Darussalam,soybean,2022,,445.4,
Brunei Darussalam,sugarcane,2013,,406.2,
Brunei Darussalam,sugarcane,2014,,411.9,
Brunei Darussalam,sugarcane,2015,,412.4,
Brunei Darussalam,sugarcane,2016,,417.3,
Brunei Darussalam,sugarcane,2017,,421.3,
Brunei Darussalam,sugarcane,2018,,442.4,
Brunei Darussalam,sugarcane,2019,0.1,459.5,
Brunei Darussalam,sugarcane,2020,0.1,453.6,0.0
Brunei Darussalam,sugarcane,2021,0.1,430.0,0.0
Brunei Darussalam,sugarcane,2022,0.1,445.4,0.0
Cambodia,cassava,2013,7632.0,14676.6,
Cambodia,cassava,2014,7933.4,14932.3,3.95
Cambodia,cassava,2015,11944.5,15191.7,50.56
Cambodia,cassava,2016,13222.3,15453.9,10.7
Cambodia,cassava,2017,13386.7,15717.7,1.24
Cambodia,cassava,2018,13512.8,15981.8,0.94
Cambodia,cassava,2019,12684.0,16078.7,-6.13
Cambodia,cassava,2020,13064.5,16338.1,3.0
Cambodia,cassava,2021,14931.9,16592.1,14.29
Cambodia,cassava,2022,14259.1,16843.3,-4.51
Cambodia,maize,2013,843.0,14676.6,
Cambodia,maize,2014,926.9,14932.3,9.95
Cambodia,maize,2015,549.4,15191.7,-40.73
Cambodia,maize,2016,560.6,15453.9,2.04
Cambodia,maize,2017,662.8,15717.7,18.23
Cambodia,maize,2018,1303.8,15981.8,96.71
Cambodia,maize,2019,985.1,16078.7,-24.44
Cambodia,maize,2020,821.8,16338.1,-16.58
Cambodia,maize,2021,791.5,16592.1,-3.69
Cambodia,maize,2022,792.5,16843.3,0.13
Cambodia,paddy,2013,9290.9,14676.6,
Cambodia,paddy,2014,9291.0,14932.3,0.0
Cambodia,paddy,2015,9324.4,15191.7,0.36
Cambodia,paddy,2016,9227.0,15453.9,-1.04
Cambodia,paddy,2017,9952.3,15717.7,7.86
Cambodia,paddy,2018,10891.7,15981.8,9.44
Cambodia,paddy,2019,10885.7,16078.7,-0.06
Cambodia,paddy,2020,10935.6,16338.1,0.46
Cambodia,paddy,2021,12207.0,16592.1,11.63
Cambodia,paddy,2022,11623.9,16843.3,-4.78
Cambodia,soybean,2013,131.0,14676.6,
Cambodia,soybean,2014,131.1,14932.3,0.08
Cambodia,soybean,2015,104.2,15191.7,-20.52
Cambodia,soybean,2016,70.8,15453.9,-32.05
Cambodia,soybean,2017,73.3,15717.7,3.53
Cambodia,soybean,2018,91.8,15981.8,25.24
Cambodia,soybean,2019,30.0,16078.7,-67.32
Cambodia,soybean,2020,16.2,16338.1,-46.0
Cambodia,soybean,2021,17.8,16592.1,9.88
Cambodia,soybean,2022,19.4,16843.3,8.99
Cambodia,sugarcane,2013,730.0,14676.6,
Cambodia,sugarcane,2014,911.3,14932.3,24.84
Cambodia,sugarcane,2015,709.1,15191.7,-22.19
Cambodia,sugarcane,2016,740.9,15453.9,4.48
Cambodia,sugarcane,2017,629.3,15717.7,-15.06
Cambodia,sugarcane,2018,691.9,15981.8,9.95
Cambodia,sugarcane,2019,673.8,16078.7,-2.62
Cambodia,sugarcane,2020,680.7,16338.1,1.02
Cambodia,sugarcane,2021,682.7,16592.1,0.29
Cambodia,sugarcane,2022,1855.2,16843.3,171.74
Indonesia,cassava,2013,23937.0,248818.1,
Indonesia,cassava,2014,23436.4,252164.8,-2.09
Indonesia,cassava,2015,22906.1,255587.9,-2.26
Indonesia,cassava,2016,20260.7,258496.5,-11.55
Indonesia,cassava,2017,19045.6,261355.5,-6.0
Indonesia,cassava,2018,16350.4,264161.7,-14.15
Indonesia,cassava,2019,17486.9,266911.9,6.95
Indonesia,cassava,2020,15731.0,270203.9,-10.04
Indonesia,cassava,2021,17994.5,272248.4,14.39
Indonesia,cassava,2022,14951.4,275719.9,-16.91
Indonesia,maize,2013,18509.0,248818.1,
Indonesia,maize,2014,19008.4,252164.8,2.7
Indonesia,maize,2015,19833.3,255587.9,4.34
Indonesia,maize,2016,23578.4,258496.5,18.88
Indonesia,maize,2017,28924.0,261355.5,22.67
Indonesia,maize,2018,21655.2,264161.7,-25.13
Indonesia,maize,2019,23951.0,266911.9,10.6
Indonesia,maize,2020,23172.1,270203.9,-3.25
Indonesia,maize,2021,23342.4,272248.4,0.73
Indonesia,maize,2022,23383.1,275719.9,0.17
Indonesia,paddy,2013,71279.7,248818.1,
Indonesia,paddy,2014,70846.5,252164.8,-0.61
Indonesia,paddy,2015,75397.8,255587.9,6.42
Indonesia,paddy,2016,79354.8,258496.5,5.25
Indonesia,paddy,2017,81148.6,261355.5,2.26
Indonesia,paddy,2018,59200.5,264161.7,-27.05
Indonesia,paddy,2019,54604.0,266911.9,-7.76
Indonesia,paddy,2020,54649.2,270203.9,0.08
Indonesia,paddy,2021,54415.3,272248.4,-0.43
Indonesia,paddy,2022,54749.0,275719.9,0.61
Indonesia,soybean,2013,780.0,248818.1,
Indonesia,soybean,2014,955.0,252164.8,22.44
Indonesia,soybean,2015,983.0,255587.9,2.93
Indonesia,soybean,2016,969.5,258496.5,-1.37
Indonesia,soybean,2017,538.7,261355.5,-44.44
Indonesia,soybean,2018,650.0,264161.7,20.66
Indonesia,soybean,2019,424.2,266911.9,-34.74
Indonesia,soybean,2020,290.8,270203.9,-31.45
Indonesia,soybean,2021,215.0,272248.4,-26.07
Indonesia,soybean,2022,301.5,275719.9,40.23
Indonesia,sugarcane,2013,2551.0,248818.1,
Indonesia,sugarcane,2014,2579.2,252164.8,1.11
Indonesia,sugarcane,2015,2498.0,255587.9,-3.15
Indonesia,sugarcane,2016,2223.0,258496.5,-11.01
Indonesia,sugarcane,2017,2121.7,261355.5,-4.56
Indonesia,sugarcane,2018,2171.0,264161.7,2.32
Indonesia,sugarcane,2019,31734.2,266911.9,1361.73
Indonesia,sugarcane,2020,32153.2,270203.9,1.32
Indonesia,sugarcane,2021,36447.3,272248.4,13.36
Indonesia,sugarcane,2022,36436.8,275719.9,-0.03
Lao PDR,cassava,2013,1254.2,6644.0,
Lao PDR,cassava,2014,1629.8,6809.1,29.95
Lao PDR,cassava,2015,2382.5,6671.7,46.18
Lao PDR,cassava,2016,2410.0,6787.0,1.15
